Name,Type,Syntax,Description,Link
LINEST,Statistical,"LINEST(known_y's, [known_x's], [const], [stats])",Returns the parameters of a linear trend,https://support.microsoft.com/en-us/office/linest-function-84d7d0d9-6e50-4101-977a-fa7abf772b6d
LN,Math and trigonometry,LN(number),Returns the natural logarithm of a number,https://support.microsoft.com/en-us/office/ln-function-81fe1ed7-dac9-4acd-ba1d-07a142c6118f
LOG,Math and trigonometry,"LOG(number, [base])",Returns the logarithm of a number to a specified base,https://support.microsoft.com/en-us/office/log-function-4e82f196-1ca9-4747-8fb0-6c4a3abb3280
LOG10,Math and trigonometry,LOG10(number),Returns the base-10 logarithm of a number,https://support.microsoft.com/en-us/office/log10-function-c75b881b-49dd-44fb-b6f4-37e3486a0211
LOGEST,Statistical,"LOGEST(known_y's, [known_x's], [const], [stats])",Returns the parameters of an exponential trend,https://support.microsoft.com/en-us/office/logest-function-f27462d8-3657-4030-866b-a272c1d18b4b
LOGINV,Compatibility,"LOGINV(probability, mean, standard_dev)",Returns the inverse of the lognormal cumulative distribution,https://support.microsoft.com/en-us/office/loginv-function-0bd7631a-2725-482b-afb4-de23df77acfe
LOGNORM.DIST,Statistical,"LOGNORM.DIST(x,mean,standard_dev,cumulative)",Returns the cumulative lognormal distribution,https://support.microsoft.com/en-us/office/lognorm-dist-function-eb60d00b-48a9-4217-be2b-6074aee6b070
LOGNORMDIST,Compatibility,"LOGNORMDIST(x,mean,standard_dev)",Returns the cumulative lognormal distribution,https://support.microsoft.com/en-us/office/lognormdist-function-f8d194cb-9ee3-4034-8c75-1bdb3884100b
LOGNORM.INV,Statistical,"LOGNORM.INV(probability, mean, standard_dev)",Returns the inverse of the lognormal cumulative distribution,https://support.microsoft.com/en-us/office/lognorm-inv-function-fe79751a-f1f2-4af8-a0a1-e151b2d4f600
LOOKUP,Lookup and reference,"LOOKUP(lookup_value, lookup_vector, [result_vector])",Looks up values in a vector or array,https://support.microsoft.com/en-us/office/lookup-function-446d94af-663b-451d-8251-369d5e3864cb
LOWER,Text,LOWER(text),Converts text to lowercase,https://support.microsoft.com/en-us/office/lower-function-3f21df02-a80c-44b2-afaf-81358f9fdeb4
MAKEARRAY,Logical,"MAKEARRAY(rows, cols, lambda(row, col))","Returns a calculated array of a specified row and column size, by applying a LAMBDA",https://support.microsoft.com/en-us/office/makearray-function-b80da5ad-b338-4149-a523-5b221da09097
MAP,Logical,"MAP (array1, lambda_or_array<#>)",Returns an array formed by mapping each value in the array(s) to a new value by applying a LAMBDA to create a new value,https://support.microsoft.com/en-us/office/map-function-48006093-f97c-47c1-bfcc-749263bb1f01
MATCH,Lookup and reference,"MATCH(lookup_value, lookup_array, [match_type])",Looks up values in a reference or array,https://support.microsoft.com/en-us/office/match-function-e8dffd45-c762-47d6-bf89-533f4a37673a
MAX,Statistical,"MAX(number1, [number2], ...)",Returns the maximum value in a list of arguments,https://support.microsoft.com/en-us/office/max-function-e0012414-9ac8-4b34-9a47-73e662c08098
MAXA,Statistical,"MAXA(value1,[value2],...)","Returns the maximum value in a list of arguments, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/maxa-function-814bda1e-3840-4bff-9365-2f59ac2ee62d
MAXIFS,Statistical,"MAXIFS(max_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...)",Returns the maximum value among cells specified by a given set of conditions or criteria,https://support.microsoft.com/en-us/office/maxifs-function-dfd611e6-da2c-488a-919b-9b6376b28883
MDETERM,Math and trigonometry,MDETERM(array),Returns the matrix determinant of an array,https://support.microsoft.com/en-us/office/mdeterm-function-e7bfa857-3834-422b-b871-0ffd03717020
MDURATION,Financial,"MDURATION(settlement, maturity, coupon, yld, frequency, [basis])",Returns the Macauley modified duration for a security with an assumed par value of $100,https://support.microsoft.com/en-us/office/mduration-function-b3786a69-4f20-469a-94ad-33e5b90a763c
MEDIAN,Statistical,"MEDIAN(number1, [number2], ...)",Returns the median of the given numbers,https://support.microsoft.com/en-us/office/median-function-d0916313-4753-414c-8537-ce85bdd967d2
MID,Text,"MID(text, start_num, num_chars)","MID returns a specific number of characters from a text string, starting at the position you specify, based on the number of characters you specify.",https://support.microsoft.com/en-us/office/mid-midb-functions-d5f9e25c-d7d6-472e-b568-4ecb12433028
MIDB,Text,"MIDB(text, start_num, num_bytes)","MIDB returns a specific number of characters from a text string, starting at the position you specify, based on the number of bytes you specify. ",https://support.microsoft.com/en-us/office/mid-midb-functions-d5f9e25c-d7d6-472e-b568-4ecb12433028
MIN,Statistical,"MIN(number1, [number2], ...)",Returns the minimum value in a list of arguments,https://support.microsoft.com/en-us/office/min-function-61635d12-920f-4ce2-a70f-96f202dcc152
MINIFS,Statistical,"MINIFS(min_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...)",Returns the minimum value among cells specified by a given set of conditions or criteria.,https://support.microsoft.com/en-us/office/minifs-function-6ca1ddaa-079b-4e74-80cc-72eef32e6599
MINA,Statistical,"MINA(value1, [value2], ...)","Returns the smallest value in a list of arguments, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/mina-function-245a6f46-7ca5-4dc7-ab49-805341bc31d3
MINUTE,Date and time,MINUTE(serial_number),Converts a serial number to a minute,https://support.microsoft.com/en-us/office/minute-function-af728df0-05c4-4b07-9eed-a84801a60589
MINVERSE,Math and trigonometry,MINVERSE(array),Returns the matrix inverse of an array,https://support.microsoft.com/en-us/office/minverse-function-11f55086-adde-4c9f-8eb9-59da2d72efc6
MIRR,Financial,"MIRR(values, finance_rate, reinvest_rate)",Returns the internal rate of return where positive and negative cash flows are financed at different rates,https://support.microsoft.com/en-us/office/mirr-function-b020f038-7492-4fb4-93c1-35c345b53524
MMULT,Math and trigonometry,"MMULT(array1, array2)",Returns the matrix product of two arrays,https://support.microsoft.com/en-us/office/mmult-function-40593ed7-a3cd-4b6b-b9a3-e4ad3c7245eb
MOD,Math and trigonometry,"MOD(number, divisor)",Returns the remainder from division,https://support.microsoft.com/en-us/office/mod-function-9b6cd169-b6ee-406a-a97b-edf2a9dc24f3
MODE,Compatibility,"MODE(number1,[number2],...)",Returns the most common value in a data set,https://support.microsoft.com/en-us/office/mode-function-e45192ce-9122-4980-82ed-4bdc34973120
MODE.MULT,Statistical,"MODE.MULT((number1,[number2],...)","Returns a vertical array of the most frequently occurring, or repetitive values in an array or range of data",https://support.microsoft.com/en-us/office/mode-mult-function-50fd9464-b2ba-4191-b57a-39446689ae8c
MODE.SNGL,Statistical,"MODE.SNGL(number1,[number2],...)",Returns the most common value in a data set,https://support.microsoft.com/en-us/office/mode-sngl-function-f1267c16-66c6-4386-959f-8fba5f8bb7f8
MONTH,Date and time,MONTH(serial_number),Converts a serial number to a month,https://support.microsoft.com/en-us/office/month-function-579a2881-199b-48b2-ab90-ddba0eba86e8
MROUND,Math and trigonometry,"MROUND(number, multiple)",Returns a number rounded to the desired multiple,https://support.microsoft.com/en-us/office/mround-function-c299c3b0-15a5-426d-aa4b-d2d5b3baf427
MULTINOMIAL,Math and trigonometry,"MULTINOMIAL(number1, [number2], ...)",Returns the multinomial of a set of numbers,https://support.microsoft.com/en-us/office/multinomial-function-6fa6373c-6533-41a2-a45e-a56db1db1bf6
MUNIT,Math and trigonometry,MUNIT(dimension),Returns the unit matrix or the specified dimension,https://support.microsoft.com/en-us/office/munit-function-c9fe916a-dc26-4105-997d-ba22799853a3
N,Information,N(value),Returns a value converted to a number,https://support.microsoft.com/en-us/office/n-function-a624cad1-3635-4208-b54a-29733d1278c9
NA,Information,NA( ),Returns the error value #N/A,https://support.microsoft.com/en-us/office/na-function-5469c2d1-a90c-4fb5-9bbc-64bd9bb6b47c
NEGBINOM.DIST,Statistical,"NEGBINOM.DIST(number_f,number_s,probability_s,cumulative)",Returns the negative binomial distribution,https://support.microsoft.com/en-us/office/negbinom-dist-function-c8239f89-c2d0-45bd-b6af-172e570f8599
NEGBINOMDIST,Compatibility,"NEGBINOMDIST(number_f,number_s,probability_s)",Returns the negative binomial distribution,https://support.microsoft.com/en-us/office/negbinomdist-function-f59b0a37-bae2-408d-b115-a315609ba714
NETWORKDAYS,Date and time,"NETWORKDAYS(start_date, end_date, [holidays])",Returns the number of whole workdays between two dates,https://support.microsoft.com/en-us/office/networkdays-function-48e717bf-a7a3-495f-969e-5005e3eb18e7
NETWORKDAYS.INTL,Date and time,"NETWORKDAYS.INTL(start_date, end_date, [weekend], [holidays])",Returns the number of whole workdays between two dates using parameters to indicate which and how many days are weekend days,https://support.microsoft.com/en-us/office/networkdays-intl-function-a9b26239-4f20-46a1-9ab8-4e925bfd5e28
NOMINAL,Financial,"NOMINAL(effect_rate, npery)",Returns the annual nominal interest rate,https://support.microsoft.com/en-us/office/nominal-function-7f1ae29b-6b92-435e-b950-ad8b190ddd2b
NORM.DIST,Statistical,"NORM.DIST(x,mean,standard_dev,cumulative)",Returns the normal cumulative distribution,https://support.microsoft.com/en-us/office/norm-dist-function-edb1cc14-a21c-4e53-839d-8082074c9f8d
NORMDIST,Compatibility,"NORMDIST(x,mean,standard_dev,cumulative)",Returns the normal cumulative distribution,https://support.microsoft.com/en-us/office/normdist-function-126db625-c53e-4591-9a22-c9ff422d6d58
NORMINV,Statistical,"NORMINV(probability,mean,standard_dev)",Returns the inverse of the normal cumulative distribution,https://support.microsoft.com/en-us/office/norminv-function-87981ab8-2de0-4cb0-b1aa-e21d4cb879b8
NORM.INV,Compatibility,"NORM.INV(probability,mean,standard_dev)",Returns the inverse of the normal cumulative distribution,https://support.microsoft.com/en-us/office/norm-inv-function-54b30935-fee7-493c-bedb-2278a9db7e13
NORM.S.DIST,Statistical,"NORM.S.DIST(z,cumulative)",Returns the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/norm-s-dist-function-1e787282-3832-4520-a9ae-bd2a8d99ba88
NORMSDIST,Compatibility,NORMSDIST(z),Returns the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/normsdist-function-463369ea-0345-445d-802a-4ff0d6ce7cac
NORM.S.INV,Statistical,NORM.S.INV(probability),Returns the inverse of the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/norm-s-inv-function-d6d556b4-ab7f-49cd-b526-5a20918452b1
NORMSINV,Compatibility,NORMSINV(probability),Returns the inverse of the standard normal cumulative distribution,https://support.microsoft.com/en-us/office/normsinv-function-8d1bce66-8e4d-4f3b-967c-30eed61f019d
NOT,Logical,NOT(logical),Reverses the logic of its argument,https://support.microsoft.com/en-us/office/not-function-9cfc6011-a054-40c7-a140-cd4ba2d87d77
NOW,Date and time,NOW(),Returns the serial number of the current date and time,https://support.microsoft.com/en-us/office/now-function-3337fd29-145a-4347-b2e6-20c904739c46
NPER,Financial,"NPER(rate,pmt,pv,[fv],[type])",Returns the number of periods for an investment,https://support.microsoft.com/en-us/office/nper-function-240535b5-6653-4d2d-bfcf-b6a38151d815
NPV,Financial,"NPV(rate,value1,[value2],...)",Returns the net present value of an investment based on a series of periodic cash flows and a discount rate,https://support.microsoft.com/en-us/office/npv-function-8672cb67-2576-4d07-b67b-ac28acf2a568
NUMBERVALUE,Text,"NUMBERVALUE(Text, [Decimal_separator], [Group_separator ])",Converts text to number in a locale-independent manner,https://support.microsoft.com/en-us/office/numbervalue-function-1b05c8cf-2bfa-4437-af70-596c7ea7d879
OCT2BIN,Engineering,"OCT2BIN(number, [places])",Converts an octal number to binary,https://support.microsoft.com/en-us/office/oct2bin-function-55383471-3c56-4d27-9522-1a8ec646c589
OCT2DEC,Engineering,OCT2DEC(number),Converts an octal number to decimal,https://support.microsoft.com/en-us/office/oct2dec-function-87606014-cb98-44b2-8dbb-e48f8ced1554
OCT2HEX,Engineering,"OCT2HEX(number, [places])",Converts an octal number to hexadecimal,https://support.microsoft.com/en-us/office/oct2hex-function-912175b4-d497-41b4-a029-221f051b858f
ODD,Math and trigonometry,ODD(number),Rounds a number up to the nearest odd integer,https://support.microsoft.com/en-us/office/odd-function-deae64eb-e08a-4c88-8b40-6d0b42575c98
ODDFPRICE,Financial,"ODDFPRICE(settlement, maturity, issue, first_coupon, rate, yld, redemption, frequency, [basis])",Returns the price per $100 face value of a security with an odd first period,https://support.microsoft.com/en-us/office/oddfprice-function-d7d664a8-34df-4233-8d2b-922bcf6a69e1
ODDFYIELD,Financial,"ODDFYIELD(settlement, maturity, issue, first_coupon, rate, pr, redemption, frequency, [basis])",Returns the yield of a security with an odd first period,https://support.microsoft.com/en-us/office/oddfyield-function-66bc8b7b-6501-4c93-9ce3-2fd16220fe37
ODDLPRICE,Financial,"ODDLPRICE(settlement, maturity, last_interest, rate, yld, redemption, frequency, [basis])",Returns the price per $100 face value of a security with an odd last period,https://support.microsoft.com/en-us/office/oddlprice-function-fb657749-d200-4902-afaf-ed5445027fc4
ODDLYIELD,Financial,"ODDLYIELD(settlement, maturity, last_interest, rate, pr, redemption, frequency, [basis])",Returns the yield of a security with an odd last period,https://support.microsoft.com/en-us/office/oddlyield-function-c873d088-cf40-435f-8d41-c8232fee9238
OFFSET,Lookup and reference,"OFFSET(reference, rows, cols, [height], [width])",Returns a reference offset from a given reference,https://support.microsoft.com/en-us/office/offset-function-c8de19ae-dd79-4b9b-a14e-b4d906d11b66
OR,Logical,"OR(logical1, [logical2], ...)",Returns TRUE if any argument is TRUE,https://support.microsoft.com/en-us/office/or-function-7d17ad14-8700-4281-b308-00b131e22af0
PDURATION,Financial,"PDURATION(rate, pv, fv)",Returns the number of periods required by an investment to reach a specified value,https://support.microsoft.com/en-us/office/pduration-function-44f33460-5be5-4c90-b857-22308892adaf
PEARSON,Statistical,"PEARSON(array1, array2)",Returns the Pearson product moment correlation coefficient,https://support.microsoft.com/en-us/office/pearson-function-0c3e30fc-e5af-49c4-808a-3ef66e034c18
PERCENTILE.EXC,Statistical,"PERCENTILE.EXC(array,k)","Returns the k-th percentile of values in a range, where k is in the range 0..1, exclusive",https://support.microsoft.com/en-us/office/percentile-exc-function-bbaa7204-e9e1-4010-85bf-c31dc5dce4ba
PERCENTILE.INC,Statistical,"PERCENTILE.INC(array,k)",Returns the k-th percentile of values in a range,https://support.microsoft.com/en-us/office/percentile-inc-function-680f9539-45eb-410b-9a5e-c1355e5fe2ed
PERCENTILE,Compatibility,"PERCENTILE(array,k)",Returns the k-th percentile of values in a range,https://support.microsoft.com/en-us/office/percentile-function-91b43a53-543c-4708-93de-d626debdddca
PERCENTRANK.EXC,Statistical,"PERCENTRANK.EXC(array,x,[significance])","Returns the rank of a value in a data set as a percentage (0..1, exclusive) of the data set",https://support.microsoft.com/en-us/office/percentrank-exc-function-d8afee96-b7e2-4a2f-8c01-8fcdedaa6314
PERCENTRANK.INC,Statistical,"PERCENTRANK.INC(array,x,[significance])",Returns the percentage rank of a value in a data set,https://support.microsoft.com/en-us/office/percentrank-inc-function-149592c9-00c0-49ba-86c1-c1f45b80463a
PERCENTRANK,Compatibility,"PERCENTRANK(array,x,[significance])",Returns the percentage rank of a value in a data set,https://support.microsoft.com/en-us/office/percentrank-function-f1b5836c-9619-4847-9fc9-080ec9024442
PERMUT,Statistical,"PERMUT(number, number_chosen)",Returns the number of permutations for a given number of objects,https://support.microsoft.com/en-us/office/permut-function-3bd1cb9a-2880-41ab-a197-f246a7a602d3
PERMUTATIONA,Statistical,"PERMUTATIONA(number, number-chosen)",Returns the number of permutations for a given number of objects (with repetitions) that can be selected from the total objects,https://support.microsoft.com/en-us/office/permutationa-function-6c7d7fdc-d657-44e6-aa19-2857b25cae4e
PHI,Statistical,PHI(x),Returns the value of the density function for a standard normal distribution,https://support.microsoft.com/en-us/office/phi-function-23e49bc6-a8e8-402d-98d3-9ded87f6295c
PHONETIC,Text,PHONETIC(reference),Extracts the phonetic (furigana) characters from a text string,https://support.microsoft.com/en-us/office/phonetic-function-9a329dac-0c0f-42f8-9a55-639086988554
PI,Math and trigonometry,PI(),Returns the value of pi,https://support.microsoft.com/en-us/office/pi-function-264199d0-a3ba-46b8-975a-c4a04608989b
PMT,Financial,"PMT(rate, nper, pv, [fv], [type])",Returns the periodic payment for an annuity,https://support.microsoft.com/en-us/office/pmt-function-0214da64-9a63-4996-bc20-214433fa6441
POISSON.DIST,Statistical,"POISSON.DIST(x,mean,cumulative)",Returns the Poisson distribution,https://support.microsoft.com/en-us/office/poisson-dist-function-8fe148ff-39a2-46cb-abf3-7772695d9636
POISSON,Compatibility,"POISSON(x,mean,cumulative)",Returns the Poisson distribution,https://support.microsoft.com/en-us/office/poisson-function-d81f7294-9d7c-4f75-bc23-80aa8624173a
POWER,Math and trigonometry,"POWER(number, power)",Returns the result of a number raised to a power,https://support.microsoft.com/en-us/office/power-function-d3f2908b-56f4-4c3f-895a-07fb519c362a
PPMT,Financial,"PPMT(rate, per, nper, pv, [fv], [type])",Returns the payment on the principal for an investment for a given period,https://support.microsoft.com/en-us/office/ppmt-function-c370d9e3-7749-4ca4-beea-b06c6ac95e1b
PRICE,Financial,"PRICE(settlement, maturity, rate, yld, redemption, frequency, [basis])",Returns the price per $100 face value of a security that pays periodic interest,https://support.microsoft.com/en-us/office/price-function-3ea9deac-8dfa-436f-a7c8-17ea02c21b0a
PRICEDISC,Financial,"PRICEDISC(settlement, maturity, discount, redemption, [basis])",Returns the price per $100 face value of a discounted security,https://support.microsoft.com/en-us/office/pricedisc-function-d06ad7c1-380e-4be7-9fd9-75e3079acfd3
PRICEMAT,Financial,"PRICEMAT(settlement, maturity, issue, rate, yld, [basis])",Returns the price per $100 face value of a security that pays interest at maturity,https://support.microsoft.com/en-us/office/pricemat-function-52c3b4da-bc7e-476a-989f-a95f675cae77
PROB,Statistical,"PROB(x_range, prob_range, [lower_limit], [upper_limit])",Returns the probability that values in a range are between two limits,https://support.microsoft.com/en-us/office/prob-function-9ac30561-c81c-4259-8253-34f0a238fc49
PRODUCT,Math and trigonometry,"PRODUCT(number1, [number2], ...)",Multiplies its arguments,https://support.microsoft.com/en-us/office/product-function-8e6b5b24-90ee-4650-aeec-80982a0512ce
PROPER,Text,PROPER(text),Capitalizes the first letter in each word of a text value,https://support.microsoft.com/en-us/office/proper-function-52a5a283-e8b2-49be-8506-b2887b889f94
PV,Financial,"PV(rate, nper, pmt, [fv], [type])",Returns the present value of an investment,https://support.microsoft.com/en-us/office/pv-function-23879d31-0e02-4321-be01-da16e8168cbd
QUARTILE,Compatibility,"QUARTILE(array,quart)",Returns the quartile of a data set,https://support.microsoft.com/en-us/office/quartile-function-93cf8f62-60cd-4fdb-8a92-8451041e1a2a
QUARTILE.EXC,Statistical,"QUARTILE.EXC(array, quart)","Returns the quartile of the data set, based on percentile values from 0..1, exclusive",https://support.microsoft.com/en-us/office/quartile-exc-function-5a355b7a-840b-4a01-b0f1-f538c2864cad
QUARTILE.INC,Statistical,"QUARTILE.INC(array,quart)",Returns the quartile of a data set,https://support.microsoft.com/en-us/office/quartile-inc-function-1bbacc80-5075-42f1-aed6-47d735c4819d
QUOTIENT,Math and trigonometry,"QUOTIENT(numerator, denominator)",Returns the integer portion of a division,https://support.microsoft.com/en-us/office/quotient-function-9f7bf099-2a18-4282-8fa4-65290cc99dee
RADIANS,Math and trigonometry,RADIANS(angle),Converts degrees to radians,https://support.microsoft.com/en-us/office/radians-function-ac409508-3d48-45f5-ac02-1497c92de5bf
RAND,Math and trigonometry,RAND(),Returns a random number between 0 and 1,https://support.microsoft.com/en-us/office/rand-function-4cbfa695-8869-4788-8d90-021ea9f5be73
RANDARRAY,Math and trigonometry,"RANDARRAY([rows],[columns],[min],[max],[whole_number])","Returns an array of random numbers between 0 and 1. However, you can specify the number of rows and columns to fill, minimum and maximum values, and whether to return whole numbers or decimal values.",https://support.microsoft.com/en-us/office/randarray-function-21261e55-3bec-4885-86a6-8b0a47fd4d33
RANDBETWEEN,Math and trigonometry,"RANDBETWEEN(bottom, top)",Returns a random number between the numbers you specify,https://support.microsoft.com/en-us/office/randbetween-function-4cc7f0d1-87dc-4eb7-987f-a469ab381685
RANK.AVG,Statistical,"RANK.AVG(number,ref,[order])",Returns the rank of a number in a list of numbers,https://support.microsoft.com/en-us/office/rank-avg-function-bd406a6f-eb38-4d73-aa8e-6d1c3c72e83a
RANK.EQ,Statistical,"RANK.EQ(number,ref,[order])",Returns the rank of a number in a list of numbers,https://support.microsoft.com/en-us/office/rank-eq-function-284858ce-8ef6-450e-b662-26245be04a40
RANK,Compatibility,"RANK(number,ref,[order])",Returns the rank of a number in a list of numbers,https://support.microsoft.com/en-us/office/rank-function-6a2fc49d-1831-4a03-9d8c-c279cf99f723
RATE,Financial,"RATE(nper, pmt, pv, [fv], [type], [guess])",Returns the interest rate per period of an annuity,https://support.microsoft.com/en-us/office/rate-function-9f665657-4a7e-4bb7-a030-83fc59e748ce
RECEIVED,Financial,"RECEIVED(settlement, maturity, investment, discount, [basis])",Returns the amount received at maturity for a fully invested security,https://support.microsoft.com/en-us/office/received-function-7a3f8b93-6611-4f81-8576-828312c9b5e5
REDUCE,Logical,"REDUCE([initial_value], array, lambda(accumulator, value, body))",Reduces an array to an accumulated value by applying a LAMBDA to each value and returning the total value in the accumulator,https://support.microsoft.com/en-us/office/reduce-function-42e39910-b345-45f3-84b8-0642b568b7cb
REGISTER.ID,Add-in and Automation,"REGISTER.ID(module_text,procedure,[type_text])",Returns the register ID of the specified dynamic link library (DLL) or code resource that has been previously registered,https://support.microsoft.com/en-us/office/register-id-function-f8f0af0f-fd66-4704-a0f2-87b27b175b50
REPLACE,Text,"REPLACE(old_text, start_num, num_chars, new_text)","REPLACE replaces part of a text string, based on the number of characters you specify, with a different text string.",https://support.microsoft.com/en-us/office/replace-replaceb-functions-8d799074-2425-4a8a-84bc-82472868878a
REPLACEB,Text,"REPLACEB(old_text, start_num, num_bytes, new_text)","REPLACEB replaces part of a text string, based on the number of bytes you specify, with a different text string.",https://support.microsoft.com/en-us/office/replace-replaceb-functions-8d799074-2425-4a8a-84bc-82472868878a
REPT,Text,"REPT(text, number_times)",Repeats text a given number of times,https://support.microsoft.com/en-us/office/rept-function-04c4d778-e712-43b4-9c15-d656582bb061
RIGHT,Text,"RIGHT(text,[num_chars])","RIGHT returns the last character or characters in a text string, based on the number of characters you specify.",https://support.microsoft.com/en-us/office/right-rightb-functions-240267ee-9afa-4639-a02b-f19e1786cf2f
RIGHTB,Text,"RIGHTB(text,[num_bytes])","RIGHTB returns the last character or characters in a text string, based on the number of bytes you specify. ",https://support.microsoft.com/en-us/office/right-rightb-functions-240267ee-9afa-4639-a02b-f19e1786cf2f
ROMAN,Math and trigonometry,"ROMAN(number, [form])","Converts an arabic numeral to roman, as text",https://support.microsoft.com/en-us/office/roman-function-d6b0b99e-de46-4704-a518-b45a0f8b56f5
ROUND,Math and trigonometry,"ROUND(number, num_digits)",Rounds a number to a specified number of digits,https://support.microsoft.com/en-us/office/round-function-c018c5d8-40fb-4053-90b1-b3e7f61a213c
ROUNDDOWN,Math and trigonometry,"ROUNDDOWN(number, num_digits)","Rounds a number down, toward zero",https://support.microsoft.com/en-us/office/rounddown-function-2ec94c73-241f-4b01-8c6f-17e6d7968f53
ROUNDUP,Math and trigonometry,"ROUNDUP(number, num_digits)","Rounds a number up, away from zero",https://support.microsoft.com/en-us/office/roundup-function-f8bc9b23-e795-47db-8703-db171d0c42a7
ROW,Lookup and reference,ROW([reference]),Returns the row number of a reference,https://support.microsoft.com/en-us/office/row-function-3a63b74a-c4d0-4093-b49a-e76eb49a6d8d
ROWS,Lookup and reference,ROWS(array),Returns the number of rows in a reference,https://support.microsoft.com/en-us/office/rows-function-b592593e-3fc2-47f2-bec1-bda493811597
RRI,Financial,"RRI(nper, pv, fv)",Returns an equivalent interest rate for the growth of an investment,https://support.microsoft.com/en-us/office/rri-function-6f5822d8-7ef1-4233-944c-79e8172930f4
RSQ,Statistical,"RSQ(known_y's,known_x's)",Returns the square of the Pearson product moment correlation coefficient,https://support.microsoft.com/en-us/office/rsq-function-d7161715-250d-4a01-b80d-a8364f2be08f
RTD,Lookup and reference,"RTD(ProgID, server, topic1, [topic2], ...)",Retrieves real-time data from a program that supports COM automation,https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593
SCAN,Logical,"SCAN ([initial_value], array, lambda(accumulator, value, body))",Scans an array by applying a LAMBDA to each value and returns an array that has each intermediate value,https://support.microsoft.com/en-us/office/scan-function-d58dfd11-9969-4439-b2dc-e7062724de29
SEARCH,Text,"SEARCH(find_text,within_text,[start_num])",Finds one text value within another (not case-sensitive),https://support.microsoft.com/en-us/office/search-searchb-functions-9ab04538-0e55-4719-a72e-b6f54513b495
SEARCHB,Text,"SEARCHB(find_text,within_text,[start_num])",Finds one text value within another (not case-sensitive),https://support.microsoft.com/en-us/office/search-searchb-functions-9ab04538-0e55-4719-a72e-b6f54513b495
SEC,Math and trigonometry,SEC(number),Returns the secant of an angle,https://support.microsoft.com/en-us/office/sec-function-ff224717-9c87-4170-9b58-d069ced6d5f7
SECH,Math and trigonometry,SECH(number),Returns the hyperbolic secant of an angle,https://support.microsoft.com/en-us/office/sech-function-e05a789f-5ff7-4d7f-984a-5edb9b09556f
SECOND,Date and time,SECOND(serial_number),Converts a serial number to a second,https://support.microsoft.com/en-us/office/second-function-740d1cfc-553c-4099-b668-80eaa24e8af1
SEQUENCE,Math and trigonometry,"SEQUENCE(rows,[columns],[start],[step])","Generates a list of sequential numbers in an array, such as 1, 2, 3, 4",https://support.microsoft.com/en-us/office/sequence-function-57467a98-57e0-4817-9f14-2eb78519ca90
SERIESSUM,Math and trigonometry,"SERIESSUM(x, n, m, coefficients)",Returns the sum of a power series based on the formula,https://support.microsoft.com/en-us/office/seriessum-function-a3ab25b5-1093-4f5b-b084-96c49087f637
SHEET,Information,SHEET(value),Returns the sheet number of the referenced sheet,https://support.microsoft.com/en-us/office/sheet-function-44718b6f-8b87-47a1-a9d6-b701c06cff24
SHEETS,Information,SHEETS(reference),Returns the number of sheets in a reference,https://support.microsoft.com/en-us/office/sheets-function-770515eb-e1e8-45ce-8066-b557e5e4b80b
SIGN,Math and trigonometry,SIGN(number),Returns the sign of a number,https://support.microsoft.com/en-us/office/sign-function-109c932d-fcdc-4023-91f1-2dd0e916a1d8
SIN,Math and trigonometry,SIN(number),Returns the sine of the given angle,https://support.microsoft.com/en-us/office/sin-function-cf0e3432-8b9e-483c-bc55-a76651c95602
SINH,Math and trigonometry,SINH(number),Returns the hyperbolic sine of a number,https://support.microsoft.com/en-us/office/sinh-function-1e4e8b9f-2b65-43fc-ab8a-0a37f4081fa7
SKEW,Statistical,"SKEW(number1, [number2], ...)",Returns the skewness of a distribution,https://support.microsoft.com/en-us/office/skew-function-bdf49d86-b1ef-4804-a046-28eaea69c9fa
SKEW.P,Statistical,"SKEW.P(number 1, [number 2],…)",Returns the skewness of a distribution based on a population: a characterization of the degree of asymmetry of a distribution around its mean,https://support.microsoft.com/en-us/office/skew-p-function-76530a5c-99b9-48a1-8392-26632d542fcb
SLN,Financial,"SLN(cost, salvage, life)",Returns the straight-line depreciation of an asset for one period,https://support.microsoft.com/en-us/office/sln-function-cdb666e5-c1c6-40a7-806a-e695edc2f1c8
SLOPE,Statistical,"SLOPE(known_y's, known_x's)",Returns the slope of the linear regression line,https://support.microsoft.com/en-us/office/slope-function-11fb8f97-3117-4813-98aa-61d7e01276b9
SMALL,Statistical,"SMALL(array, k)",Returns the k-th smallest value in a data set,https://support.microsoft.com/en-us/office/small-function-17da8222-7c82-42b2-961b-14c45384df07
SORT,Lookup and reference,"SORT(array,[sort_index],[sort_order],[by_col]) ",Sorts the contents of a range or array,https://support.microsoft.com/en-us/office/sort-function-22f63bd0-ccc8-492f-953d-c20e8e44b86c
